ID,Date,Home_Team,Away_Team,Home_Team_Score,Away_Team_Score,Home_Team_Yellowcard,Away_Team_Yellowcard,Home_Team_Redcard,Away_Team_Redcard,Home_Team_Shots,Away_Team_Shots,Home_Team_ShotsonTarget,Away_Team_ShotsonTarget,Home_Team_Possession,Away_Team_Possession,Home_Team_Passes,Away_Team_Passes,Home_Team_Fouls,Away_Team_Fouls,Home_Team_Offside,Away_Team_Offside,Home_Team_Corner,Away_Team_Corner,League
42,24-08-2025,Cagliari,Fiorentina,1,1,4,2,0,0,14,4,6,1,45,55,356,439,18,14,1,4,3,2,Serie a
43,24-08-2025,Como,Lazio,2,0,2,3,0,0,19,5,6,1,64,36,537,309,15,12,0,1,6,0,Serie a
44,24-08-2025,Juventus,Parma,2,0,1,2,1,0,25,8,8,2,65,35,512,275,9,13,0,0,6,6,Serie a
45,24-08-2025,Atalanta,Pisa,1,1,2,0,0,0,21,11,6,2,66,34,552,289,9,10,0,2,10,4,Serie a
46,25-08-2025,Udinese,Verona,1,1,3,2,0,0,14,9,4,3,63,37,486,288,10,14,2,2,5,1,Serie a
47,25-08-2025,Inter,Torino,5,0,0,0,0,0,20,12,9,4,60,40,577,379,14,6,4,1,6,5,Serie a
48,25-08-2025,Athletic Club,Rayo Vallecano,1,0,0,4,0,0,11,6,4,1,40,60,334,498,13,13,0,7,3,6,La Liga
49,25-08-2025,Sevilla,Getafe,1,2,2,2,0,0,12,9,3,6,72,28,533,221,10,24,4,1,5,3,La Liga
50,25-08-2025,Newcastle,Liverpool,2,3,2,3,1,0,10,5,3,4,37,63,248,446,17,15,0,0,7,1,Premier League
51,27-08-2025,Celta Vigo,Real Betis,1,1,1,2,0,0,14,7,5,2,47,53,496,568,13,11,5,2,10,4,La Liga
52,29-08-2025,Elche,Levante,2,0,1,2,0,0,16,11,5,1,68,32,568,272,14,17,1,1,4,2,La Liga
53,29-08-2025,Valencia,Getafe,3,0,2,0,0,0,7,11,4,1,58,42,408,296,18,7,0,5,8,6,La Liga
54,29-08-2025,Cremonese,Sassuolo,3,2,2,2,0,0,11,9,6,6,41,59,359,507,12,17,0,2,5,4,Serie a
55,29-08-2025,Lecce,AC Milan,0,2,1,0,0,0,7,14,2,6,45,55,388,482,10,8,1,4,4,5,Serie a
56,30-08-2025,Chelsea,Fulham,2,0,2,2,0,0,13,11,6,3,54,46,494,415,11,17,3,1,6,4,Premier League
57,30-08-2025,Wolves,Everton,2,3,0,1,0,0,12,10,4,4,59,41,524,371,15,10,2,1,2,2,Premier League
58,30-08-2025,Tottenham,Bournemouth,0,1,2,4,0,0,5,20,1,6,62,38,477,296,17,13,2,3,0,8,Premier League
59,30-08-2025,Man United,Burnley,3,2,1,5,0,0,26,6,6,3,62,38,500,309,9,9,1,1,7,1,Premier League
60,30-08-2025,Sunderland,Brentford,2,1,3,2,0,0,12,7,3,4,55,45,419,354,11,12,0,3,3,4,Premier League
61,30-08-2025,Leeds United,Newcastle,0,0,1,1,0,0,10,8,1,2,43,57,414,547,10,15,1,0,5,5,Premier League
62,30-08-2025,Alaves,Atletico Madrid,1,1,2,3,0,0,5,15,2,6,39,61,377,548,10,17,0,1,1,6,La Liga
63,30-08-2025,Oviedo,Real Sociedad,1,0,2,1,0,0,8,18,1,6,43,57,408,526,7,18,2,1,1,10,La Liga
64,30-08-2025,Girona,Sevilla,0,2,0,1,0,0,20,13,5,4,59,41,427,322,5,14,2,0,11,3,La Liga
65,30-08-2025,Real Madrid,Mallorca,2,1,2,0,0,0,17,9,7,5,59,41,538,382,12,7,3,1,4,5,La Liga
66,30-08-2025,Bologna,Como,1,0,4,3,0,0,15,13,2,2,35,65,242,459,13,19,3,0,7,4,Serie a
67,30-08-2025,Parma,Atalanta,1,1,2,2,0,0,7,11,3,3,46,54,345,420,8,15,1,4,1,2,Serie a
68,30-08-2025,Napoli,Cagliari,1,0,2,1,0,0,20,10,6,1,68,32,615,310,16,12,3,1,13,0,Serie a
69,30-08-2025,Pisa,Roma,0,1,2,1,0,0,7,10,3,5,31,69,266,581,14,10,2,1,1,7,Serie a
70,31-08-2025,Brighton,Man City,2,1,2,2,0,0,12,12,7,3,36,64,311,556,16,14,1,0,3,2,Premier League
71,31-08-2025,Nottm Forest,West Ham,0,3,0,0,0,0,11,12,3,8,59,41,533,384,14,6,0,0,9,7,Premier League
72,31-08-2025,Liverpool,Arsenal,1,0,2,2,0,0,9,11,3,1,53,47,433,373,7,10,1,0,3,8,Premier League
73,31-08-2025,Aston Villa,Crystal Palace,0,3,2,3,0,0,13,6,4,4,59,41,531,386,7,14,0,2,10,1,Premier League
74,31-08-2025,Celta Vigo,Villarreal,1,1,1,1,0,0,10,8,2,3,66,34,738,390,11,8,0,0,1,5,La Liga
75,31-08-2025,Real Betis,Athletic Club,1,2,1,4,0,1,9,15,2,6,51,49,454,440,9,16,3,2,4,10,La Liga
76,31-08-2025,Espanyol,Osasuna,1,0,2,3,0,0,10,10,4,3,45,55,408,491,13,14,2,1,2,3,La Liga
77,31-08-2025,Rayo Vallecano,Barcelona,1,1,4,1,0,0,12,12,6,3,43,57,338,443,16,8,7,2,9,4,La Liga
78,31-08-2025,Torino,Fiorentina,0,0,2,2,0,0,7,16,4,4,45,55,292,369,21,13,2,1,7,3,Serie a
79,31-08-2025,Genoa,Juventus,0,1,1,2,0,0,10,13,1,3,44,56,350,449,14,15,0,2,3,4,Serie a
80,31-08-2025,Inter,Udinese,1,2,1,3,0,0,16,10,4,5,68,32,497,245,17,5,2,0,13,2,Serie a
81,31-08-2025,Lazio,Verona,4,0,0,0,0,0,22,12,6,4,70,30,700,300,8,19,1,1,8,1,Serie a
82,13-09-2025,Arsenal,Nottm Forest,3,0,1,1,0,0,16,5,4,1,54,46,413,366,8,10,2,0,8,3,Premier League
83,13-09-2025,Bournemouth,Brighton,2,1,4,4,0,0,13,6,5,2,53,47,289,271,15,8,1,0,4,4,Premier League
84,13-09-2025,Crystal Palace,Sunderland,0,0,1,1,0,0,13,6,6,1,54,46,433,344,9,8,1,2,5,3,Premier League
85,13-09-2025,Newcastle,Wolves,1,0,1,4,0,0,14,8,2,3,58,42,390,286,10,17,1,0,9,4,Premier League
86,13-09-2025,Everton,Aston Villa,0,0,3,3,0,0,19,6,2,3,48,52,318,317,17,14,2,2,10,3,Premier League
87,13-09-2025,Fulham,Leeds United,1,0,1,2,0,0,5,7,3,3,54,46,392,332,19,13,0,3,3,3,Premier League
88,13-09-2025,Sevilla,Elche,2,2,4,3,0,0,3,3,2,2,53,47,347,288,19,18,1,0,2,2,La Liga
89,13-09-2025,Getafe,Oviedo,2,0,2,5,0,1,10,4,3,0,48,52,300,300,11,17,1,1,4,3,La Liga
90,13-09-2025,Real Sociedad,Real Madrid,1,2,2,1,0,1,21,16,5,7,64,36,460,190,13,5,0,2,12,4,La Liga
91,13-09-2025,Cagliari,Parma,2,0,3,1,0,0,13,17,5,6,52,48,280,315,14,18,3,0,4,5,Serie a
92,13-09-2025,Juventus,Inter,4,3,2,1,0,0,11,16,4,4,40,60,319,457,14,9,1,1,5,9,Serie a
93,13-09-2025,Fiorentina,Napoli,1,3,0,0,0,0,17,13,5,7,53,47,393,359,14,12,0,1,8,5,Serie a
94,13-09-2025,Athletic Club,Alaves,0,1,4,3,0,0,10,5,3,2,58,42,422,284,15,21,2,0,6,6,La Liga
95,13-09-2025,Atletico Madrid,Villarreal,2,0,2,4,0,0,9,5,3,1,62,38,396,339,9,13,1,0,8,3,La Liga
96,13-09-2025,West Ham,Tottenham,0,3,0,1,1,0,6,14,3,4,37,63,261,482,8,7,0,4,2,13,Premier League
97,13-09-2025,Brentford,Chelsea,2,2,3,2,0,0,8,15,7,8,34,66,245,523,13,9,0,4,5,6,Premier League
98,14-09-2025,Burnley,Liverpool,0,1,1,2,1,0,2,25,0,4,19,81,98,592,9,9,3,1,1,13,Premier League
99,14-09-2025,Man City,Man United,3,0,0,0,0,0,10,12,5,2,46,54,375,400,7,9,2,3,2,4,Premier League
100,14-09-2025,Roma,Torino,0,1,2,3,0,0,18,6,5,3,68,32,533,179,10,17,1,4,7,4,Serie a
101,14-09-2025,Atalanta,Lecce,4,1,0,0,0,0,19,10,9,3,57,43,405,329,10,7,3,1,8,2,Serie a
102,14-09-2025,Pisa,Udinese,0,1,1,2,0,0,12,13,2,3,49,51,307,323,13,15,1,1,8,6,Serie a
103,14-09-2025,Sassuolo,Lazio,1,0,6,3,0,0,7,12,2,3,42,58,331,410,16,11,0,1,3,7,Serie a
104,14-09-2025,AC Milan,Bologna,1,0,3,2,0,0,14,5,3,0,40,60,278,437,16,16,2,1,7,4,Serie a
105,14-09-2025,Celta Vigo,Girona,1,1,0,3,0,0,16,7,6,5,60,40,487,362,5,5,0,3,10,3,La Liga
106,14-09-2025,Levante,Real Betis,2,2,4,2,0,0,6,23,2,11,33,67,162,510,10,10,2,1,4,12,La Liga
107,14-09-2025,Osasuna,Rayo Vallecano,2,0,3,2,0,0,6,9,5,4,34,66,267,483,6,4,0,1,3,6,La Liga
108,14-09-2025,Barcelona,Valencia,6,0,0,1,0,0,23,4,11,3,74,26,591,186,9,7,3,3,5,4,La Liga
109,15-09-2025,Espanyol,Mallorca,3,2,2,1,1,0,8,23,4,10,38,62,258,421,6,14,0,2,3,9,La Liga
110,15-09-2025,Verona,Cremonese,0,0,2,1,0,0,18,5,9,2,45,55,374,399,18,3,4,1,10,1,Serie a
111,15-09-2025,Como,Genoa,1,1,2,2,1,0,12,11,4,4,55,45,416,329,13,16,0,0,0,8,Serie a
